index,Date,Price,Open,High,Low,Volume,Percentage_change,Currency_Type
1287,2019-09-18,210.43,207.8,216.89,207.69,9780000.0,1.28,Ethereum
1288,2019-09-19,220.21,210.44,223.35,202.95,12420000.0,4.65,Ethereum
1289,2019-09-20,218.0,220.22,221.27,213.12,9100000.0,-1.0,Ethereum
1290,2019-09-21,215.22,218.01,221.17,213.71,8690000.0,-1.28,Ethereum
1291,2019-09-22,211.13,215.23,215.64,206.71,9720000.0,-1.9,Ethereum
1292,2019-09-23,201.18,211.16,211.76,199.82,9650000.0,-4.71,Ethereum
1293,2019-09-24,166.29,201.22,202.97,164.78,19020000.0,-17.34,Ethereum
1294,2019-09-25,168.92,166.29,174.26,162.12,13880000.0,1.58,Ethereum
1295,2019-09-26,164.56,168.93,169.81,153.17,11970000.0,-2.58,Ethereum
1296,2019-09-27,173.19,164.58,175.65,161.32,10940000.0,5.24,Ethereum
1297,2019-09-28,173.62,173.19,175.15,168.56,10220000.0,0.25,Ethereum
1298,2019-09-29,169.29,173.62,174.43,164.97,9900000.0,-2.49,Ethereum
1299,2019-09-30,180.35,169.28,180.52,165.59,11930000.0,6.53,Ethereum
1300,2019-10-01,175.78,180.36,184.95,174.03,11880000.0,-2.54,Ethereum
1301,2019-10-02,180.27,175.78,180.84,173.97,8470000.0,2.56,Ethereum
1302,2019-10-03,174.54,180.26,180.57,170.65,8890000.0,-3.18,Ethereum
1303,2019-10-04,175.65,174.58,178.43,171.33,8440000.0,0.64,Ethereum
1304,2019-10-05,176.43,175.65,176.63,172.39,7300000.0,0.44,Ethereum
1305,2019-10-06,170.55,176.44,176.87,168.74,7970000.0,-3.33,Ethereum
1306,2019-10-07,179.87,170.52,182.03,169.13,10950000.0,5.46,Ethereum
1307,2019-10-08,180.78,179.81,184.57,177.74,10260000.0,0.51,Ethereum
1308,2019-10-09,192.64,180.74,195.08,179.39,12430000.0,6.56,Ethereum
1309,2019-10-10,191.1,192.65,194.08,187.33,10420000.0,-0.8,Ethereum
1310,2019-10-11,180.6,191.11,195.87,179.76,13310000.0,-5.49,Ethereum
1311,2019-10-12,179.87,180.6,184.49,178.78,9850000.0,-0.4,Ethereum
1312,2019-10-13,181.11,179.86,184.42,178.89,8220000.000000001,0.69,Ethereum
1313,2019-10-14,186.63,181.07,186.99,180.65,9910000.0,3.05,Ethereum
1314,2019-10-15,180.59,186.64,187.67,178.26,11450000.0,-3.23,Ethereum
1315,2019-10-16,174.53,180.57,181.08,172.49,12280000.0,-3.36,Ethereum
1316,2019-10-17,177.31,174.52,178.33,172.12,9450000.0,1.59,Ethereum
1317,2019-10-18,172.81,177.31,177.47,169.28,11270000.0,-2.54,Ethereum
1318,2019-10-19,171.91,172.79,174.81,170.38,9890000.0,-0.52,Ethereum
1319,2019-10-20,175.14,171.93,176.17,169.56,10100000.0,1.88,Ethereum
1320,2019-10-21,174.18,175.14,177.67,171.91,9240000.0,-0.55,Ethereum
1321,2019-10-22,171.42,174.17,175.08,170.82,9860000.0,-1.58,Ethereum
1322,2019-10-23,162.28,171.44,171.61,154.42,16000000.0,-5.34,Ethereum
1323,2019-10-24,160.73,162.26,163.68,159.4,11360000.0,-0.95,Ethereum
1324,2019-10-25,181.49,160.73,186.24,160.41,16190000.000000002,12.92,Ethereum
1325,2019-10-26,179.62,181.5,192.54,174.35,19630000.0,-1.03,Ethereum
1326,2019-10-27,184.05,179.61,188.33,176.47,14540000.0,2.46,Ethereum
1327,2019-10-28,181.67,184.06,188.91,180.7,12750000.0,-1.29,Ethereum
1328,2019-10-29,190.45,181.67,192.28,181.67,14030000.0,4.83,Ethereum
1329,2019-10-30,183.25,190.44,191.58,180.58,13670000.0,-3.78,Ethereum
1330,2019-10-31,182.37,183.25,185.21,178.24,12940000.0,-0.48,Ethereum
1331,2019-11-01,183.12,182.38,184.28,178.69,10780000.0,0.41,Ethereum
1332,2019-11-02,183.01,183.12,185.18,181.94,8710000.0,-0.06,Ethereum
1333,2019-11-03,181.7,183.01,184.51,179.46,10410000.0,-0.72,Ethereum
1334,2019-11-04,185.85,181.72,188.27,180.69,11890000.0,2.29,Ethereum
1335,2019-11-05,188.67,185.86,191.45,183.12,11780000.0,1.51,Ethereum
1336,2019-11-06,191.28,188.66,194.11,188.13,11720000.0,1.38,Ethereum
1337,2019-11-07,186.94,191.28,192.27,185.48,11490000.0,-2.27,Ethereum
1338,2019-11-08,184.03,186.95,188.35,181.83,11710000.0,-1.56,Ethereum
1339,2019-11-09,184.96,184.02,185.73,182.86,8310000.000000001,0.5,Ethereum
1340,2019-11-10,188.99,184.96,191.28,183.55,10950000.0,2.18,Ethereum
1341,2019-11-11,185.09,188.98,190.17,184.32,10260000.0,-2.06,Ethereum
1342,2019-11-12,186.99,185.09,187.44,183.24,9350000.0,1.03,Ethereum
1343,2019-11-13,188.36,187.0,189.45,185.7,7770000.0,0.73,Ethereum
1344,2019-11-14,185.25,188.36,188.91,183.96,9570000.0,-1.65,Ethereum
1345,2019-11-15,180.19,185.24,186.1,178.29,11860000.0,-2.73,Ethereum
1346,2019-11-16,182.42,180.19,183.46,179.53,7620000.0,1.24,Ethereum
1347,2019-11-17,184.18,182.39,185.97,180.49,8570000.0,0.97,Ethereum
1348,2019-11-18,178.5,184.19,184.33,176.08,9570000.0,-3.09,Ethereum
1349,2019-11-19,176.09,178.49,178.7,173.48,9110000.0,-1.35,Ethereum
1350,2019-11-20,174.96,176.09,177.42,173.99,8390000.0,-0.64,Ethereum
1351,2019-11-21,161.46,174.96,175.91,158.55,13360000.0,-7.71,Ethereum
1352,2019-11-22,149.8,161.46,163.06,139.13,21120000.0,-7.22,Ethereum
1353,2019-11-23,152.46,149.79,154.25,146.6,11840000.0,1.77,Ethereum
1354,2019-11-24,140.66,152.46,153.24,139.79,11390000.0,-7.74,Ethereum
1355,2019-11-25,145.9,140.58,151.26,131.78,17980000.0,3.72,Ethereum
1356,2019-11-26,147.61,145.88,149.81,144.04,10840000.0,1.17,Ethereum
1357,2019-11-27,152.7,147.6,155.43,141.91,13340000.0,3.44,Ethereum
1358,2019-11-28,151.07,152.71,154.68,149.71,9660000.0,-1.07,Ethereum
1359,2019-11-29,154.55,151.07,157.27,150.64,10490000.0,2.3,Ethereum
1360,2019-11-30,151.95,154.57,155.19,150.45,8790000.0,-1.68,Ethereum
1361,2019-12-01,151.04,151.93,152.33,146.26,9910000.0,-0.6,Ethereum
1362,2019-12-02,148.89,151.06,151.63,147.49,9180000.0,-1.43,Ethereum
